vessel_id,distance_to_port_km,speed_knots,avg_speed_last_1hr,acceleration,heading_change,engine_health,port_id,wind_speed_kmph,wave_height_m,visibility_km,weather_severity,port_id,port_name,current_queue,berth_capacity,actual_eta_minutes
V00001,780.3532317523568,14.351893913933875,20.409971286829496,0.4144337051165219,8.967361236132495,0.9541709733089259,P016,29.66220812470381,0.25596661401340115,8.54531561973769,0.3427802097865111,P016,Dahej,9,14,1812.23
V00002,1903.8928974993364,13.659505635933856,11.136703925178097,-0.12212263939742063,2.844533254861741,0.8483551131158111,P004,35.24407500385267,4.971027718059523,3.1621580990724434,0.8205994359277127,P004,Visakhapatnam,6,18,4566.31
V00003,1477.3881865322398,10.994616512548621,13.892874804288065,1.3934955745918227,3.790776749166479,0.7586396831896557,P003,18.52719501516004,1.4958454935564458,9.57171036244212,0.293560775806521,P003,Kochi,12,6,4491.82
V00004,1217.3840441842215,18.323533391725295,19.27577082658291,-0.8430646470472855,5.420133845427654,0.9209925359830278,P004,11.567149266936303,1.7036241861352135,8.745792921972328,0.25433057997226405,P004,Visakhapatnam,5,18,2179.88
V00005,354.2363488627512,16.10261072864669,16.19551885691616,0.26356924799682213,6.109600030948451,0.8256034407049887,P011,12.75386297421846,1.3574716700931933,9.350826385866686,0.2310202133643971,P011,Mangalore,11,15,770.61
V00006,354.1893146555952,22.71691686950806,20.555707656793196,0.6006300449706679,7.2678542763163225,0.8783882450357492,P005,27.877930334575755,5.040503731331772,4.285155255293702,0.7291097803286684,P005,Kandla,12,9,611.86
V00007,163.26304372798893,8.545862868194991,24.340534320788613,0.976693468036145,7.663800868904832,0.7321795870521816,P015,22.702321359659848,5.873411972437814,4.684559513171635,0.7248928214956868,P015,Hazira,12,14,702.82
V00008,1739.0434842611237,18.945754768437148,9.981293691158358,-0.27908690871597885,13.671490364626077,0.8894751968547977,P004,19.459765239090284,4.531119905580212,5.759403476353672,0.5814842432358436,P004,Visakhapatnam,12,18,3035.65
V00009,1222.1742728992572,20.97013093469654,20.062651178767034,0.5607657229724445,15.287195724781238,0.8120651466835372,P019,8.110963151046962,4.941467162815141,3.7936053326179877,0.534668669045786,P019,Gangavaram,13,5,2067.73
V00010,1430.7415267022886,20.91127167620122,11.915850645745946,-0.5903955858471517,9.266376243790678,0.8002569249155483,P002,35.01822749995613,3.7230027631160265,5.723380712151928,0.6839148449642578,P002,Chennai,1,5,2257.13
V00011,90.13976387681477,23.06325744062393,15.046104365928677,-0.19357172291453928,27.218892597621846,0.9939746736333404,P010,31.240817900296243,3.172649450378872,2.0736134846074235,0.6824458726694055,P010,JNPT,13,16,196.09
V00012,1941.3242117158889,20.3935736281014,8.558666338517376,1.1868813936101974,16.594191700168636,0.8297291928280741,P011,5.625544069569184,4.32946802874309,9.020292568037467,0.3644807912511485,P011,Mangalore,6,15,3125.75
V00013,1673.2631495608223,23.77277104801084,10.310425498975881,1.349722827992863,23.624307841002203,0.9034115134347203,P015,14.695538184085466,0.21457727283732186,3.2983523212161456,0.2952934869390199,P015,Hazira,4,14,2310.18
V00014,464.0612658226385,13.655162196955155,13.436213913831295,0.6564520407817942,27.7271349726253,0.8883182606721522,P009,21.685283745555655,0.36840315362038023,6.006782631267613,0.321277395071563,P009,Haldia,6,16,1137.61
V00015,404.5586860538462,16.554560084776234,13.813758689895744,-0.37694432767144503,4.894053437274156,0.7312910652655472,P017,18.17354491086128,4.123640931457102,9.430611941826005,0.4680326057025662,P017,Dhamra,5,13,839.59
V00016,407.63879421419597,8.239354275809141,23.292948679855627,0.960173369923992,12.836234511469035,0.9243782611192948,P006,15.911833549509534,2.0104197875223484,8.567860340892851,0.32178911451206155,P006,Tuticorin,6,6,1675.53
V00017,643.2723737710986,8.11827898415595,20.61081945753076,-1.4223987548237393,12.996312051438263,0.7969477610300729,P004,28.753275902421173,2.933006138689648,8.208996624418594,0.5188865691151497,P004,Visakhapatnam,9,18,2620.78
V00018,1073.275041682864,12.082152547675838,24.5271104591797,-1.1917622683817368,10.634167513150626,0.9396818647590205,P013,2.180140169513498,4.691955381959461,6.843565114465997,0.3977271248697791,P013,Karwar,6,17,2913.43
V00019,892.2927863521257,9.71372235136445,18.18421567569909,0.48412120912608336,0.2671759965491982,0.8822922347846147,P009,18.856413565037677,3.462947450441604,5.4901878870745815,0.5096235412716588,P009,Haldia,3,16,3007.24
V00020,617.8968233861817,12.42359325490781,12.109133445552406,-0.6262542741898277,24.479163233342852,0.7951274469860469,P005,10.487267615584056,4.831571247978347,5.56829896830907,0.5156114466548823,P005,Kandla,11,9,1708.31
V00021,1243.11314470864,11.009736006982756,13.570135508667928,1.3541586552014335,3.346779646617084,0.8068878880993212,P019,3.384735409390358,2.514931453023861,2.6957248240365868,0.34759495448142924,P019,Gangavaram,7,5,3760.16
V00022,322.0130282714816,8.48484042225702,13.43721069596344,-0.1918181637230858,29.864417937652767,0.9194522108999081,P019,18.59548632011862,1.7245401178292685,2.5182876423197094,0.45055845154341,P019,Gangavaram,0,5,1246.27
