vessel_id,port_id,berth_id,arrival_time_hr,unload_start_hr,unload_end_hr,unloading_time_hr,waiting_time_hr
V09487,P001,1,2.6,2.6,4.97,2.37,0.0
V01254,P001,2,7.1,7.1,8.17,1.07,0.0
V09910,P001,3,4.47,4.47,8.48,4.01,0.0
V03043,P001,4,7.21,7.21,9.36,2.15,0.0
V06391,P001,5,10.72,10.72,11.92,1.2,0.0
V08922,P001,1,9.78,9.78,11.98,2.2,0.0
V08289,P001,2,5.49,8.17,14.94,6.77,2.68
V04730,P001,3,9.45,9.45,13.03,3.58,0.0
V08561,P001,4,12.1,12.1,14.69,2.59,0.0
V01459,P001,5,12.59,12.59,14.74,2.15,0.0
V09562,P001,1,12.09,12.09,14.94,2.85,0.0
V04388,P001,3,5.62,13.03,23.51,10.48,7.41
V06524,P001,4,13.78,14.69,18.3,3.62,0.91
V00791,P001,5,10.37,14.74,22.46,7.72,4.37
V01340,P001,1,4.45,14.94,29.0,14.06,10.49
V05293,P001,2,4.05,14.94,29.82,14.88,10.89
V08156,P001,4,15.7,18.3,21.61,3.3,2.61
V08413,P001,4,17.82,21.61,22.86,1.25,3.78
V09092,P001,5,6.12,22.46,35.71,13.25,16.34
V05633,P001,4,10.83,22.86,31.59,8.73,12.02
V03099,P001,3,3.91,23.51,39.32,15.81,19.6
V09516,P001,1,12.99,29.0,35.84,6.84,16.01
V05646,P001,2,14.76,29.82,35.03,5.21,15.06
V05806,P001,4,13.62,31.59,38.61,7.02,17.96
V05152,P001,2,12.4,35.03,43.29,8.26,22.63
V05729,P001,5,14.97,35.71,42.01,6.3,20.74
V03674,P001,1,12.8,35.84,44.35,8.51,23.04
V02183,P001,4,4.19,38.61,56.34,17.73,34.42
V03635,P001,3,7.12,39.32,54.43,15.11,32.2
V07283,P001,5,13.37,42.01,50.88,8.87,28.63
V03783,P001,2,4.15,43.29,61.45,18.16,39.15
V03769,P001,1,10.91,44.35,55.81,11.46,33.44
V04651,P001,5,9.3,50.88,64.43,13.55,41.58
V00955,P001,3,21.09,54.43,56.61,2.18,33.34
V05437,P001,1,12.58,55.81,67.09,11.28,43.23
V03174,P001,4,9.44,56.34,70.98,14.64,46.89
V01436,P001,3,5.36,56.61,75.49,18.88,51.25
V01285,P001,2,17.67,61.45,68.06,6.61,43.78
V06093,P001,5,20.57,64.43,68.15,3.72,43.85
V06220,P001,1,10.85,67.09,80.79,13.7,56.24
V09280,P001,2,9.34,68.06,83.35,15.29,58.72
V05491,P001,5,12.2,68.15,80.85,12.7,55.95
V03576,P001,4,20.36,70.98,75.93,4.95,50.61
V03536,P001,3,14.78,75.49,86.51,11.02,60.71
V03932,P001,4,11.18,75.93,90.63,14.7,64.74
V00691,P001,1,19.36,80.79,87.61,6.82,61.43
V08084,P001,5,7.39,80.85,99.65,18.8,73.46
V04811,P001,2,18.53,83.35,91.13,7.78,64.83
V04202,P001,3,10.55,86.51,102.39,15.88,75.96
V04398,P001,1,13.3,87.61,100.81,13.2,74.3
V09975,P001,4,24.45,90.63,93.02,2.39,66.17
V08118,P001,2,12.31,91.13,105.72,14.59,78.82
V09707,P001,4,4.18,93.02,115.86,22.84,88.83
V05299,P001,5,26.33,99.65,101.21,1.56,73.32
V00935,P001,1,14.77,100.81,114.26,13.45,86.03
V07442,P001,5,7.38,101.21,122.23,21.02,93.83
V04188,P001,3,28.39,102.39,102.73,0.34,74.0
V09673,P001,3,24.26,102.73,107.23,4.5,78.47
V05421,P001,2,18.65,105.72,116.11,10.39,87.08
V01117,P001,3,7.21,107.23,129.31,22.08,100.02
V00371,P001,1,9.79,114.26,133.79,19.53,104.47
V03899,P001,4,26.76,115.86,118.45,2.59,89.09
V04600,P001,2,13.27,116.11,132.29,16.18,102.84
V08438,P001,4,3.46,118.45,144.48,26.03,114.98
V03735,P001,5,15.77,122.23,136.11,13.88,106.46
V00106,P001,3,26.04,129.31,133.16,3.85,103.27
V07466,P001,2,24.21,132.29,138.01,5.72,108.08
V09381,P001,3,3.41,133.16,159.69,26.53,129.75
V01504,P001,1,29.2,133.79,134.55,0.76,104.58
V09945,P001,1,23.82,134.55,141.27,6.72,110.72
V09026,P001,5,22.64,136.11,144.15,8.04,113.47
V03939,P001,2,13.92,138.01,154.81,16.8,124.09
V06610,P001,1,22.16,141.27,150.15,8.88,119.11
V03358,P001,5,19.07,144.15,156.29,12.14,125.08
V01589,P001,4,23.94,144.48,152.11,7.63,120.54
V03765,P001,1,26.35,150.15,155.45,5.3,123.79
V03557,P001,4,28.57,152.11,155.36,3.25,123.53
V01417,P001,2,3.79,154.81,182.96,28.15,151.02
V02623,P001,4,22.01,155.36,165.3,9.94,133.34
V08753,P001,1,23.28,155.45,164.17,8.72,132.17
V07313,P001,5,18.29,156.29,170.0,13.71,137.99
V07438,P001,3,15.15,159.69,176.95,17.26,144.54
V05700,P001,1,21.74,164.17,174.85,10.68,142.43
V00296,P001,4,24.41,165.3,173.53,8.23,140.89
V00881,P001,5,19.36,170.0,183.53,13.53,150.63
V00961,P001,4,9.61,173.53,196.9,23.37,163.92
V01795,P001,1,4.83,174.85,203.21,28.36,170.01
V01981,P001,3,23.74,176.95,187.06,10.11,153.21
V08371,P001,2,11.15,182.96,205.74,22.78,171.82
V00562,P001,5,11.34,183.53,206.14,22.61,172.19
V01276,P001,3,11.88,187.06,209.37,22.31,175.18
V02522,P001,4,9.86,196.9,221.37,24.47,187.03
V08914,P001,1,14.2,203.21,223.37,20.16,189.01
V08062,P001,2,14.01,205.74,226.12,20.38,191.73
V09215,P001,5,4.81,206.14,235.76,29.62,201.33
V04771,P001,3,3.71,209.37,240.1,30.73,205.66
V02819,P001,4,3.63,221.37,252.19,30.83,217.73
V00203,P001,1,16.17,223.37,241.68,18.31,207.2
V07096,P001,2,28.52,226.12,232.09,5.97,197.6
V06618,P001,2,32.66,232.09,234.26,2.17,199.44
V03946,P001,2,4.22,234.26,264.91,30.65,230.05
V07665,P001,5,22.13,235.76,248.55,12.79,213.63
V03995,P001,3,25.01,240.1,250.2,10.1,215.09
V03968,P001,1,3.81,241.68,273.08,31.4,237.87
V08460,P001,5,23.78,248.55,260.05,11.5,224.77
V04214,P001,3,13.61,250.2,271.89,21.69,236.59
V02529,P001,4,3.27,252.19,284.39,32.2,248.93
V05422,P001,5,20.1,260.05,275.48,15.43,239.95
V06497,P001,2,32.0,264.91,268.52,3.61,232.92
V01133,P001,2,8.74,268.52,295.73,27.21,259.78
V05504,P001,3,23.09,271.89,284.88,12.99,248.81
V04364,P001,1,27.79,273.08,281.67,8.59,245.28
V02232,P001,5,4.26,275.48,307.68,32.2,271.22
V03786,P001,1,13.9,281.67,304.53,22.86,267.77
V06803,P001,4,14.15,284.39,307.17,22.78,270.24
V00805,P001,3,21.05,284.88,300.9,16.02,263.83
V05681,P001,2,13.04,295.73,319.79,24.06,282.69
V07800,P001,3,15.19,300.9,322.93,22.03,285.71
V08724,P001,1,21.29,304.53,320.9,16.37,283.24
V08403,P001,4,26.29,307.17,318.57,11.4,280.88
V07489,P001,5,29.82,307.68,315.64,7.96,277.86
V06498,P001,5,7.62,315.64,345.99,30.35,308.02
V00190,P001,4,28.6,318.57,328.0,9.43,289.98
V05931,P001,2,14.98,319.79,342.86,23.07,304.82
V00581,P001,1,36.51,320.9,322.55,1.65,284.39
V03638,P001,1,5.11,322.55,355.79,33.24,317.44
V09224,P001,3,14.32,322.93,346.99,24.06,308.61
V09040,P001,4,30.38,328.0,336.25,8.25,297.63
V08029,P001,4,27.68,336.25,347.41,11.16,308.57
V02008,P001,2,38.89,342.86,343.25,0.39,303.97
V08832,P001,2,28.6,343.25,354.16,10.91,314.65
V08134,P001,5,26.73,345.99,358.8,12.81,319.26
V09303,P001,3,37.47,346.99,349.1,2.11,309.52
V04701,P001,4,13.49,347.41,373.51,26.1,333.93
V06182,P001,3,11.84,349.1,376.9,27.8,337.26
V08429,P001,2,26.32,354.16,367.65,13.49,327.84
V03069,P001,1,13.84,355.79,381.93,26.14,341.95
V05978,P001,5,8.62,358.8,390.22,31.42,350.18
V02002,P001,2,32.35,367.65,375.45,7.8,335.3
V00655,P001,4,35.06,373.51,378.69,5.17,338.45
V04197,P001,2,6.58,375.45,409.55,34.1,368.88
V08760,P001,3,30.1,376.9,387.55,10.65,346.8
V08493,P001,4,33.58,378.69,385.96,7.28,345.11
V05508,P001,1,27.08,381.93,395.74,13.81,354.84
V06405,P001,4,5.63,385.96,421.71,35.75,380.33
V09873,P001,3,22.77,387.55,406.26,18.71,364.78
V09539,P001,5,5.34,390.22,426.42,36.2,384.88
V01548,P001,1,27.16,395.74,410.13,14.39,368.58
V00045,P001,3,16.5,406.26,431.35,25.09,389.76
V00823,P001,2,16.52,409.55,434.75,25.2,393.03
V04116,P001,1,30.89,410.13,421.03,10.9,379.23
V09773,P001,1,25.8,421.03,437.26,16.23,395.23
V06286,P001,4,34.76,421.71,429.67,7.96,386.96
V00522,P001,5,23.09,426.42,446.19,19.77,403.33
V02308,P001,4,30.13,429.67,442.62,12.95,399.55
V02852,P001,3,19.27,431.35,455.18,23.83,412.08
V05378,P001,2,19.28,434.75,458.58,23.83,415.47
V08570,P001,1,20.49,437.26,459.98,22.72,416.77
V04506,P001,4,21.64,442.62,464.2,21.58,420.98
V03823,P001,5,37.95,446.19,451.63,5.44,408.24
V00072,P001,5,11.88,451.63,483.22,31.59,439.75
V06385,P001,3,23.53,455.18,475.16,19.98,431.65
V07166,P001,2,4.22,458.58,497.97,39.39,454.36
V00298,P001,1,20.26,459.98,483.36,23.38,439.72
V07632,P001,4,41.83,464.2,466.05,1.85,422.37
V06724,P001,4,23.41,466.05,486.47,20.42,442.65
V02555,P001,3,7.46,475.16,511.63,36.47,467.7
V02944,P001,5,39.08,483.22,488.1,4.88,444.14
V07893,P001,1,37.45,483.36,490.83,7.47,445.91
V00311,P001,4,21.34,486.47,510.1,23.63,465.14
V07965,P001,5,40.55,488.1,492.57,4.47,447.55
V04671,P001,1,25.48,490.83,510.41,19.58,465.35
V06547,P001,5,25.01,492.57,513.13,20.56,467.56
V08823,P001,2,12.48,497.97,531.09,33.12,485.49
V02231,P001,4,44.79,510.1,511.02,0.92,465.32
V08683,P001,1,13.48,510.41,542.81,32.4,496.93
V03203,P001,4,14.11,511.02,542.9,31.88,496.91
V02732,P001,3,40.74,511.63,516.93,5.3,470.89
V09106,P001,5,27.19,513.13,532.11,18.98,485.93
V00120,P001,3,29.6,516.93,533.55,16.62,487.33
V08194,P001,2,21.99,531.09,555.45,24.36,509.11
V01368,P001,5,41.52,532.11,537.0,4.89,490.59
V05825,P001,3,23.39,533.55,556.9,23.35,510.16
V01761,P001,5,27.11,537.0,556.85,19.85,509.89
V04653,P001,1,37.88,542.81,551.91,9.1,504.93
V08626,P001,4,34.38,542.9,555.6,12.69,508.53
V06567,P001,1,46.29,551.91,552.95,1.04,505.62
V05266,P001,1,45.39,552.95,555.01,2.06,507.56
V06962,P001,1,23.42,555.01,579.06,24.05,531.59
V07685,P001,2,8.28,555.45,594.9,39.45,547.17
V05300,P001,4,4.62,555.6,598.81,43.21,550.98
V09565,P001,5,32.92,556.85,572.07,15.22,523.93
V08151,P001,3,29.62,556.9,575.54,18.64,527.29
V04278,P001,5,25.2,572.07,595.27,23.2,546.87
V07153,P001,3,42.54,575.54,581.41,5.87,533.01
V09992,P001,1,19.31,579.06,608.27,29.21,559.75
V09971,P001,3,8.59,581.41,621.4,39.99,572.82
V06933,P001,2,45.13,594.9,598.51,3.61,549.78
V06416,P001,5,33.29,595.27,610.89,15.62,561.98
V03984,P001,2,22.4,598.51,625.24,26.73,576.11
V05846,P001,4,16.32,598.81,631.65,32.84,582.49
V04242,P001,1,21.32,608.27,636.21,27.94,586.95
V00349,P001,5,26.36,610.89,634.12,23.23,584.53
V08409,P001,3,41.73,621.4,629.57,8.17,579.67
V06369,P001,2,37.86,625.24,637.34,12.1,587.38
V01783,P001,3,26.81,629.57,652.94,23.37,602.76
V03612,P001,4,8.58,631.65,673.6,41.95,623.06
V04638,P001,5,49.71,634.12,634.99,0.87,584.41
V06249,P001,5,40.22,634.99,645.4,10.41,594.76
V02513,P001,1,49.07,636.21,637.83,1.62,587.13
V09186,P001,2,37.69,637.34,650.8,13.46,599.65
V02230,P001,1,29.42,637.83,659.72,21.89,608.41
V00696,P001,5,32.54,645.4,664.38,18.98,612.85
V07003,P001,2,40.08,650.8,662.3,11.5,610.72
V04787,P001,3,47.78,652.94,656.87,3.93,605.17
V09223,P001,3,29.37,656.87,679.22,22.35,627.5
V03962,P001,1,25.22,659.72,686.46,26.74,634.5
V00219,P001,2,42.65,662.3,671.74,9.44,619.66
V09576,P001,5,35.77,664.38,680.76,16.38,628.61
V08311,P001,2,38.88,671.74,685.03,13.29,632.87
V01751,P001,4,35.33,673.6,690.54,16.94,638.26
V05525,P001,3,35.52,679.22,695.97,16.75,643.7
V09792,P001,5,35.34,680.76,697.77,17.01,645.41
V08582,P001,2,42.57,685.03,694.82,9.79,642.46
V02524,P001,1,27.66,686.46,711.33,24.87,658.8
V01889,P001,4,47.21,690.54,695.91,5.37,643.32
V08136,P001,2,5.17,694.82,742.5,47.68,689.65
V06119,P001,4,23.99,695.91,724.9,28.99,671.92
V01811,P001,3,31.04,695.97,717.96,21.99,664.93
