vessel_id,vessel_type,cargo_quantity_tons,port_efficiency,plant_priority,unloading_time_hours
V00001,Tanker,19984.958253733384,Medium,Low,15.32
V00002,Bulk Carrier,23935.06513906356,High,Medium,19.15
V00003,Cargo,42800.09596350793,High,Low,49.22
V00004,Tanker,17330.217109964662,Medium,High,9.82
V00005,Tanker,43547.65939820248,Low,Medium,34.84
V00006,Bulk Carrier,4862.654333346229,Low,High,4.96
V00007,Cargo,38951.52264182722,Medium,High,41.39
V00008,Cargo,42453.60783620945,Low,Medium,63.68
V00009,Tanker,9499.973815448267,Low,High,6.46
V00010,Container,21802.15335242392,Low,Low,25.07
V00011,Tanker,8692.238845850954,Medium,Low,6.66
V00012,Tanker,35476.90438521378,High,Low,21.76
V00013,Tanker,26999.71451905201,High,High,12.24
V00014,Tanker,31948.50566206189,High,Low,19.6
V00015,Bulk Carrier,10226.104864332452,High,High,6.95
V00016,Cargo,10981.420171594766,High,High,9.33
V00017,Bulk Carrier,2554.117612740365,Low,Low,3.52
V00018,Bulk Carrier,16442.34299218862,Low,Low,22.69
V00019,Bulk Carrier,28207.36073601691,Low,High,28.77
V00020,Tanker,42967.778242867775,Medium,High,24.35
V00021,Container,33512.90864920469,Low,High,28.49
V00022,Cargo,22052.118008287696,High,High,18.74
V00023,Container,47679.44566250982,Low,Low,54.83
V00024,Bulk Carrier,36102.63742850368,High,High,24.55
V00025,Bulk Carrier,46543.17754169623,Low,High,47.47
V00026,Container,26615.6046769722,High,High,15.08
V00027,Container,13315.76160226041,Low,High,11.32
V00028,Container,3114.9209750537384,High,High,1.77
V00029,Bulk Carrier,36441.200148450596,High,Medium,29.15
V00030,Bulk Carrier,6504.498401273939,Medium,Medium,6.5
V00031,Cargo,15487.368849462375,Low,Medium,23.23
V00032,Cargo,26857.309940252922,High,Low,30.89
V00033,Bulk Carrier,28438.62109509751,Low,High,29.01
V00034,Container,30228.868250863234,High,Low,23.18
V00035,Container,8729.638852310181,Medium,High,6.18
V00036,Cargo,19297.00153867161,Medium,Medium,24.12
V00037,Bulk Carrier,31051.114242289852,Medium,High,26.39
V00038,Cargo,48506.033799372344,Medium,Low,69.73
V00039,Cargo,36517.74131613459,High,Low,42.0
V00040,Tanker,46168.88597615091,Low,High,31.39
V00041,Tanker,38229.496886551766,Medium,Low,29.31
V00042,Tanker,29789.98996017382,Medium,Medium,19.86
V00043,Container,10005.156772249054,Medium,High,7.09
V00044,Bulk Carrier,33500.9397686794,Low,Medium,40.2
V00045,Bulk Carrier,31357.2885150154,High,Medium,25.09
V00046,Bulk Carrier,30322.223937634688,High,Low,27.9
V00047,Bulk Carrier,24744.40046541792,High,High,16.83
V00048,Tanker,26668.50189746914,High,Medium,14.22
V00049,Container,17054.90509234615,Low,Medium,17.05
V00050,Container,26205.978285794008,Low,High,22.28
V00051,Tanker,10279.017331084673,Low,Low,9.46
V00052,Container,40356.13266933865,Medium,Medium,33.63
V00053,Tanker,9695.959257586037,Low,High,6.59
V00054,Bulk Carrier,4705.831349528587,High,High,3.2
V00055,Tanker,22094.178304679288,Low,Medium,17.68
V00056,Bulk Carrier,33086.21825555006,Medium,Medium,33.09
V00057,Bulk Carrier,22166.982834210296,High,Medium,17.73
V00058,Cargo,14199.329531589776,Low,Low,24.49
V00059,Tanker,28129.473602576818,High,Low,17.25
V00060,Cargo,17676.615602903898,High,High,15.03
V00061,Tanker,46676.95066126834,Low,High,31.74
V00062,Tanker,46170.934410376816,Low,Medium,36.94
V00063,Cargo,25367.405088618725,Medium,High,26.95
V00064,Cargo,16730.257703903797,Low,Low,28.86
V00065,Tanker,36988.05449085363,Low,High,25.15
V00066,Container,2317.2907024117985,Low,High,1.97
V00067,Bulk Carrier,24001.065799160737,High,Medium,19.2
V00068,Cargo,17148.00801638151,Medium,Medium,21.44
V00069,Bulk Carrier,46066.526312576454,High,Low,42.38
V00070,Container,1094.1498499977859,Low,High,0.93
V00071,Container,27864.33634805828,Medium,High,19.74
V00072,Container,37162.847262797986,Low,High,31.59
V00073,Cargo,24508.39038244004,High,Medium,24.51
V00074,Container,4727.449993054722,High,Low,3.62
V00075,Cargo,48636.83880638116,Low,High,62.01
V00076,Container,26141.516353116847,Medium,High,18.52
V00077,Bulk Carrier,30902.219093791064,High,High,21.01
V00078,Bulk Carrier,12212.184244021613,Low,High,12.46
V00079,Tanker,24433.155212786787,Low,Low,22.48
V00080,Bulk Carrier,21742.89985193693,Low,Low,30.01
V00081,Tanker,4207.344179098195,Medium,Low,3.23
V00082,Bulk Carrier,5754.937500599627,Low,Medium,6.91
V00083,Cargo,41954.889721129344,Low,High,53.49
V00084,Bulk Carrier,12371.087634226218,High,High,8.41
V00085,Tanker,10150.434439182212,Low,High,6.9
V00086,Tanker,25493.116836881894,Medium,High,14.45
V00087,Container,38552.98300244439,Low,Low,44.34
V00088,Cargo,3566.352669659902,Medium,Medium,4.46
V00089,Bulk Carrier,29051.992022093666,Low,Medium,34.86
V00090,Container,6400.916920608382,Low,High,5.44
V00091,Bulk Carrier,2304.8220158681133,Low,Low,3.18
V00092,Bulk Carrier,3110.825632029761,Medium,Medium,3.11
V00093,Container,41791.12335631785,High,Medium,27.86
V00094,Container,6339.637939589047,Medium,High,4.49
V00095,Container,2734.9925384084513,High,Medium,1.82
V00096,Container,22176.044413574156,Medium,High,15.71
V00097,Container,42277.676861130225,Low,Low,48.62
V00098,Bulk Carrier,13489.214636220446,Low,High,13.76
V00099,Container,21374.774567532862,High,Medium,14.25
V00100,Cargo,2476.1653619056856,High,High,2.1
V00101,Tanker,22729.386449676356,Medium,High,12.88
V00102,Container,29091.847491538116,Medium,High,20.61
V00103,Container,28759.899160731165,High,High,16.3
V00104,Bulk Carrier,16955.121262631073,High,High,11.53
V00105,Container,16118.892442825208,Medium,High,11.42
V00106,Container,5777.869137361596,High,Medium,3.85
V00107,Container,18656.516871990287,High,High,10.57
V00108,Bulk Carrier,5424.986109211751,High,Medium,4.34
V00109,Container,38446.49926324656,High,High,21.79
V00110,Tanker,48330.5777385352,Low,Low,44.46
V00111,Bulk Carrier,48518.68560500199,Low,High,49.49
V00112,Tanker,43321.019419082,High,Medium,23.1
V00113,Bulk Carrier,30239.211392311146,Medium,Medium,30.24
V00114,Container,35192.852013572054,Low,Low,40.47
V00115,Tanker,14617.687232680497,Medium,High,8.28
V00116,Bulk Carrier,31723.13579854472,Medium,Low,36.48
V00117,Cargo,23054.652697273934,Low,High,29.39
V00118,Container,24359.85831895816,Medium,High,17.25
V00119,Bulk Carrier,38009.93973857032,Medium,Medium,38.01
V00120,Cargo,14454.958602063956,High,Low,16.62
V00121,Bulk Carrier,16242.960778878734,High,Low,14.94
V00122,Cargo,46269.768660867514,High,Medium,46.27
V00123,Container,3283.1025951231263,Low,Medium,3.28
V00124,Tanker,24538.89777146035,High,Low,15.05
V00125,Cargo,45683.639620189155,Medium,Medium,57.1
V00126,Bulk Carrier,30712.968886998773,Medium,High,26.11
V00127,Container,27547.150173500537,Medium,Low,26.4
V00128,Cargo,12862.336871853084,Medium,Low,18.49
V00129,Bulk Carrier,17492.13670869019,Medium,Medium,17.49
V00130,Bulk Carrier,42676.3965823323,Low,High,43.53
V00131,Bulk Carrier,28181.297522538676,Medium,Low,32.41
V00132,Cargo,25979.738590960606,Low,Low,44.82
V00133,Cargo,5429.195820231432,Medium,High,5.77
V00134,Cargo,1293.3937445285947,Low,Medium,1.94
V00135,Tanker,48202.41684000893,Low,Medium,38.56
V00136,Cargo,19160.81528069866,Medium,Medium,23.95
V00137,Cargo,30359.046573925465,Medium,Medium,37.95
V00138,Cargo,4445.896122770608,Medium,High,4.72
V00139,Tanker,34314.1571432908,Medium,High,19.44
V00140,Cargo,46662.05208094507,High,Low,53.66
V00141,Bulk Carrier,28995.43002337227,High,Low,26.68
V00142,Cargo,6742.708457582823,Low,High,8.6
V00143,Bulk Carrier,29295.2156099371,Low,Low,40.43
V00144,Bulk Carrier,38434.187048680295,High,High,26.14
V00145,Bulk Carrier,20617.618560413925,Low,Medium,24.74
V00146,Tanker,44051.96852310266,Medium,High,24.96
V00147,Tanker,32609.806191189542,Low,High,22.17
V00148,Tanker,45012.82145531553,Low,Low,41.41
V00149,Cargo,31363.51290674319,Low,High,39.99
V00150,Bulk Carrier,6998.754614238799,High,Medium,5.6
V00151,Tanker,15829.73969970686,High,Medium,8.44
V00152,Tanker,10488.849938496618,Low,Low,9.65
V00153,Cargo,45486.91163698468,Medium,Low,65.39
V00154,Tanker,38139.80333073039,Low,High,25.94
V00155,Cargo,33981.7192610453,High,Low,39.08
V00156,Container,15397.832821765272,Medium,Medium,12.83
V00157,Tanker,9610.216216485569,Low,Low,8.84
V00158,Container,37944.32885545113,High,Low,29.09
V00159,Cargo,23970.818321014445,Medium,Medium,29.96
V00160,Bulk Carrier,11676.582831456142,Low,High,11.91
V00161,Tanker,31022.787919181115,High,High,14.06
V00162,Cargo,2496.5256808533727,Medium,Low,3.59
V00163,Bulk Carrier,16645.42757934855,Low,Medium,19.97
V00164,Bulk Carrier,23693.571232261165,Medium,Medium,23.69
V00165,Container,7823.937538415589,Medium,Medium,6.52
V00166,Cargo,49240.396640746556,Medium,High,52.32
V00167,Bulk Carrier,10850.319547185905,High,Medium,8.68
V00168,Tanker,6952.479937141644,Low,Medium,5.56
V00169,Tanker,10574.976257401371,Medium,High,5.99
