vessel_id,timestamp,distance_to_port_km,speed_knots,avg_speed_last_1hr,acceleration,heading_change,engine_health
V001,0,1017.06,24.16,24.63,0.3,4.68,0.75
V001,1,1000.42,8.99,9.72,0.3,21.24,0.71
V001,2,955.06,24.49,25.15,-0.86,5.45,0.76
V001,3,930.67,13.17,13.22,-0.2,8.74,0.88
V001,4,911.46,10.37,9.96,-0.4,13.68,0.94
V001,5,890.36,11.39,11.42,0.28,1.39,0.88
V001,6,870.17,10.9,10.03,1.35,28.97,0.94
V001,7,845.77,13.18,12.37,0.55,13.2,0.74
V001,8,815.36,16.42,15.49,1.23,7.76,0.9
V001,9,790.73,13.3,13.34,0.14,5.55,0.99
V001,10,751.51,21.18,22.06,1.18,17.94,0.98
V001,11,733.91,9.5,8.9,-1.36,9.76,0.82
V001,12,710.55,12.61,13.27,-0.43,8.43,0.86
V001,13,691.3,10.4,11.0,-1.28,29.61,0.93
V001,14,670.23,11.38,10.39,0.95,21.21,0.92
V001,15,631.13,21.11,20.26,-0.42,3.48,0.96
V001,16,596.69,18.6,18.26,-1.31,9.33,0.8
V001,17,558.9,20.4,20.68,1.16,14.17,0.74
V001,18,521.63,20.13,20.65,0.18,23.13,0.85
V001,19,490.35,16.89,16.74,-1.42,3.24,0.71
V001,20,455.5,18.82,18.45,0.03,27.23,0.77
V001,21,427.77,14.98,15.49,-0.81,2.31,0.79
V001,22,407.87,10.74,11.6,0.92,19.0,0.96
V001,23,367.75,21.66,21.04,1.18,16.18,0.94
V001,24,324.73,23.23,22.87,-1.17,6.84,0.83
V001,25,284.16,21.91,22.63,-1.48,15.32,0.83
V001,26,262.35,11.78,11.02,-0.49,28.29,0.8
V001,27,231.2,16.82,17.23,-0.41,29.15,0.99
V001,28,208.45,12.28,12.27,-0.6,8.55,0.71
V001,29,174.45,18.36,18.37,-1.35,8.36,0.97
V001,30,152.09,12.07,11.36,-0.03,29.57,0.77
V001,31,116.11,19.43,19.95,-0.79,21.85,0.81
V001,32,81.39,18.75,19.02,0.11,2.71,0.95
V001,33,56.47,13.45,12.83,-1.38,17.73,0.9
V001,34,41.13,8.28,8.31,-0.82,19.36,0.75
